epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
158,1638.42,1.02862,0.75905,1.05523,0.90215,0.85636,0.93361,0.7696,0.80291,0.55873,0.97012,0.0084457,0.0084457,0.0084457
159,1647.53,1.01287,0.75675,1.05331,0.92507,0.88306,0.93741,0.77298,0.79511,0.56674,0.96415,0.0084358,0.0084358,0.0084358
160,1658.89,1.02065,0.75833,1.06596,0.94396,0.85316,0.94771,0.78026,0.7934,0.55972,0.98001,0.0084259,0.0084259,0.0084259
161,1668.99,1.02765,0.75766,1.06319,0.92667,0.90576,0.92924,0.76866,0.78595,0.55427,0.98909,0.008416,0.008416,0.008416
162,1678.78,1.00779,0.74929,1.04762,0.9093,0.82935,0.91781,0.77844,0.75852,0.56242,0.95699,0.0084061,0.0084061,0.0084061
163,1690.18,1.00856,0.74496,1.05284,0.88115,0.89871,0.93779,0.777,0.79932,0.55683,0.9498,0.0083962,0.0083962,0.0083962
164,1699.75,1.02403,0.75458,1.05592,0.85861,0.91532,0.93628,0.79705,0.73741,0.50959,0.93966,0.0083863,0.0083863,0.0083863
165,1710.02,1.00861,0.74549,1.05614,0.93216,0.80209,0.93329,0.76218,0.74833,0.51436,0.94681,0.0083764,0.0083764,0.0083764
166,1721.68,1.05519,0.77667,1.06244,0.86843,0.92491,0.94606,0.79651,0.75701,0.49757,0.94025,0.0083665,0.0083665,0.0083665
167,1730.54,0.99919,0.74966,1.05203,0.92935,0.85038,0.92805,0.78219,0.7623,0.49184,0.93905,0.0083566,0.0083566,0.0083566
168,1741.49,1.02065,0.7588,1.05518,0.81744,0.8528,0.9134,0.74229,0.75665,0.55348,0.93256,0.0083467,0.0083467,0.0083467
169,1752.52,1.02091,0.75562,1.0499,0.9635,0.92103,0.94243,0.81483,0.71968,0.50128,0.92839,0.0083368,0.0083368,0.0083368
170,1761.5,1.00966,0.75134,1.05262,0.89667,0.92995,0.94027,0.79675,0.72551,0.50446,0.93948,0.0083269,0.0083269,0.0083269
171,1772.49,1.01935,0.73969,1.05433,0.91658,0.8939,0.9375,0.79004,0.72905,0.51516,0.93121,0.008317,0.008317,0.008317
172,1783.65,1.0084,0.7415,1.05414,0.95823,0.92696,0.95144,0.80277,0.76994,0.49059,0.95884,0.0083071,0.0083071,0.0083071
173,1792.59,0.99301,0.72386,1.03698,0.94554,0.83946,0.93756,0.77787,0.72975,0.50922,0.92876,0.0082972,0.0082972,0.0082972
174,1803.58,0.99907,0.7272,1.04458,0.92014,0.84289,0.94017,0.77727,0.74485,0.47299,0.93498,0.0082873,0.0082873,0.0082873
175,1814.25,0.98999,0.73423,1.04314,0.93783,0.86982,0.95557,0.80089,0.75668,0.49877,0.94385,0.0082774,0.0082774,0.0082774
176,1823.51,0.99278,0.73716,1.05294,0.9358,0.92664,0.965,0.78759,0.73757,0.49828,0.94144,0.0082675,0.0082675,0.0082675
177,1834.59,0.99772,0.72853,1.0446,0.93493,0.93249,0.95124,0.78804,0.70453,0.49074,0.93209,0.0082576,0.0082576,0.0082576
178,1845.02,0.99918,0.74381,1.05594,0.94082,0.92652,0.93669,0.79037,0.70331,0.51447,0.93607,0.0082477,0.0082477,0.0082477
179,1854.77,1.01313,0.74174,1.05363,0.95872,0.92467,0.94884,0.78297,0.74746,0.47417,0.94865,0.0082378,0.0082378,0.0082378
180,1865.98,0.97867,0.72251,1.04489,0.99163,0.92855,0.95779,0.80563,0.68717,0.43831,0.92959,0.0082279,0.0082279,0.0082279
